ligname	1-4_eel_avg	1-4_eel_se	1-4_vdw_avg	1-4_vdw_se	angle_avg	angle_se	bond_avg	bond_se	dihed_avg	dihed_se	edisper_avg	edisper_se	eel_avg	eel_se	vdwaals_avg	vdwaals_se	egb_avg	egb_se	esurf_avg	esurf_se	gb_tot_avg	gb_tot_se	paper-id	expt-dg	expt-err	q	dataset
j1	2.750000202240699e-06	6.8071587318140445e-06	-1.2499999873227807e-06	7.998678531778108e-06	-2.874999915434273e-06	9.357981865375136e-06	2.750000004994036e-06	7.868809347810583e-06	3.4999999890317216e-06	7.875644732871217e-06	0.0	0.0	-113.19618862499941	3.953379015886352	-61.58239825000002	1.4578051640197238	164.1343081250001	5.776586033104532	-11.530954770300006	0.09184126074978637	-22.175228645300002	4.982156351623272	1	-9.8	0.1	1	Janssen
j2	-2.5000051891765905e-07	1.2285683660898011e-05	3.7499998079226776e-07	8.764761973496313e-06	2.500000052521045e-06	7.457525642541913e-06	2.125000035277936e-06	1.0743291249623689e-05	-1.2500004032744982e-07	7.876586958660497e-06	0.0	0.0	-19.727838250000147	0.9082278067307812	-55.663132875	0.7412688658631132	50.51374887499993	1.5104220047909105	-8.550558986399999	0.11661664104246056	-33.42777661140001	1.0422435344344196	2	-9.6	0.1	0	Janssen
j3	-1.2500000411819202e-06	1.0203161849547287e-05	-3.1249999983629095e-06	9.093309759420216e-06	-6.249999866270173e-07	7.801879766755754e-06	6.250000026852831e-07	6.500071421876116e-06	7.500001018456714e-07	5.9499529463718474e-06	0.0	0.0	-43.798721999999024	1.2576631200920214	-40.937522499999965	0.7428491281020865	79.19238937499998	1.519379036913716	-7.590273868800006	0.04319027341180202	-13.134132618799686	1.5803723525513886	3	-9.0	0.1	0	Janssen
j4	2.8750001865773813e-06	1.2248482216003897e-05	1.2499998533144208e-07	1.0574781311650767e-05	-1.249999868946361e-07	9.164376465665617e-06	5.000000099641966e-07	8.880039017143279e-06	3.750000132640707e-07	1.0794664063839193e-05	0.0	0.0	-97.02947337499992	3.2530022863397883	-64.246109625	1.0222732376596937	143.79841175000004	3.7053665461337935	-11.523474910799994	0.12031907335853825	-29.00064241079997	1.6481965648146657	4	-8.9	0.1	1	Janssen
j5	3.875000470543455e-06	7.472321135885518e-06	2.7500000098967803e-06	6.211722183417438e-06	-2.1250000671102497e-06	6.164160736687052e-06	1.1249999973728107e-06	7.1873482513255635e-06	1.875000017079742e-06	9.23275579521819e-06	0.0	0.0	-42.37992812500008	1.4607802066576123	-36.78511650000001	1.022013320561543	75.45221125000006	1.8588339772829487	-6.9024983489999965	0.04027498073991779	-10.615324223999776	2.0848623394927053	5	-8.8	0.1	0	Janssen
j6	1.7499993984415597e-06	7.861425959069915e-06	2.625000033589231e-06	8.183153851815959e-06	-8.750000191071193e-07	8.770712670433395e-06	3.1250000233029595e-06	7.957315040492017e-06	1.625000066667326e-06	7.659096642569124e-06	0.0	0.0	-18.969674625001183	0.8911153760930551	-43.973093500000026	0.5245943992565194	51.27806024999998	0.9130591590635334	-6.3544401333000025	0.04674927558165945	-18.01913975829989	1.5206753153465518	6	-8.2	0.1	0	Janssen
j7	1.6249996679107426e-06	9.053576877756147e-06	-2.125000012256351e-06	8.91244346930397e-06	-1.2500005752258403e-07	8.498350504676836e-06	1.1250000184759301e-06	7.007629926762677e-06	-1.5000000830411864e-06	7.611701575103212e-06	0.0	0.0	-46.21095449999943	1.575693277601124	-44.74283499999998	0.5190790253108001	94.42327400000003	1.9089125037659451	-8.782184295899992	0.05300473462188625	-5.312700795900182	1.3651396116028418	7	-7.8	0.1	0	Janssen
j8	-3.125000124981625e-06	7.907491075726992e-06	-2.1250000195038865e-06	8.177497995287944e-06	-8.749999879853478e-07	8.693267484623828e-06	-8.38440428196918e-15	1.0963369575232517e-05	-2.7500000044256014e-06	7.613025674624655e-06	0.0	0.0	-18.57595887500119	1.150590732061564	-42.954167	0.5282813424810829	47.78057499999997	1.5283223698929738	-6.192990634500006	0.05049820182616722	-19.94255038449987	1.2692028388040189	8	-7.4	0.1	0	Janssen
j9	4.999998645871529e-07	8.405759607311842e-06	-2.2499999863967445e-06	8.658278149634152e-06	-1.3749999439482962e-06	8.929392621454134e-06	8.749999730284229e-07	8.45398811725172e-06	-3.250000075993853e-06	8.358334406587833e-06	0.0	0.0	-28.17190937499959	1.6069801590650103	-36.98063350000001	0.6571329830830699	49.90548212499985	2.481274394197164	-6.3521680302	0.06892187860910702	-21.59923428020017	2.059874134760184	9	-7.3	0.1	0	Janssen
j10	-1.2500031459694586e-07	7.878819696485821e-06	1.8749999834000165e-06	9.875140459434109e-06	1.2499999377624251e-06	7.662791147038409e-06	-7.499999748361573e-07	8.486391347756796e-06	-1.8749999912159863e-06	6.787534113131288e-06	0.0	0.0	-19.604444375000053	1.9706360090360984	-27.705921000000018	1.0218778468809278	28.060355749999953	3.783422372361296	-4.211575677900004	0.0776683021959522	-23.461584927900127	2.8326397838139754	10	-6.3	0.1	0	Janssen
