1-4_eel_avg	1-4_eel_se	1-4_vdw_avg	1-4_vdw_se	angle_avg	angle_se	bond_avg	bond_se	dihed_avg	dihed_se	edisper_avg	edisper_se	eel_avg	eel_se	vdwaals_avg	vdwaals_se	egb_avg	egb_se	esurf_avg	esurf_se	gb_tot_avg	gb_tot_se	ligname	paper-id	expt-dg	expt-err	q	dataset
0.4073999032253539	3.1223020453850125	0.6177286774193789	0.4567045718674009	1.2105554395158933	1.3513491542496223	1.216790193548411	0.8484273093780369	-2.5289814516129923	1.1405721034214429	0.0	0.0	-40.22957729435514	18.38706432778895	-54.81326243951625	1.6812625929624303	39.55097552419356	18.309455123192965	-7.930984921867733	0.5516277385020203	-62.49935636944872	3.5147528477487033	j1	1	-9.8	0.1	1	Janssen
-14.567968096775019	3.0076132515445853	-0.0023031975806233613	0.5277854407584921	2.3519451895159307	1.3499710460472087	0.4963708185484048	0.8026337076759774	-1.580131826613087	1.0796966337468106	0.0	0.0	-41.512465544354775	18.22463217558776	-54.5115946895164	1.4131518858032288	77.4019575241937	18.326386403890762	-9.11059857876775	0.5547776751836059	-41.03478840134784	3.615391570686888	j2	2	-9.6	0.1	0	Janssen
0.028974778224323924	3.1073427504739035	0.5350320524193286	0.4697834314890767	0.2429004395160135	1.2473611814970849	-0.426291556451611	0.7766583424473423	0.4663644233870414	1.0713624486008273	0.0	0.0	-50.35525629435506	18.239920493037477	-43.183259314516135	1.612608048448853	75.32140164919372	18.038147877994103	-8.167194216667747	0.5508890871721324	-25.53732803924862	3.37415606005942	j3	3	-9.0	0.1	0	Janssen
-4.567965096775311	2.895735737558258	0.057346552419215165	0.5298863804272715	1.8452715645160824	1.3950417266782555	-0.23854655645167175	0.9260795930003322	-3.197930951612733	1.1892052987758928	0.0	0.0	-62.8466636693546	17.707779678908647	-58.34300731451624	1.6129610181261966	88.32101627419362	17.666378395786946	-9.59654626806774	0.5613520144689397	-48.56702546564833	3.522387710737294	j4	4	-8.9	0.1	1	Janssen
0.009783403224844278	2.4227094563198674	-0.05326932258061845	0.5122650153832841	1.3678616895159408	1.2377598464023516	-0.3717138064516909	0.8334279238323582	-1.3629134516129715	1.085193127799405	0.0	0.0	-84.00714566935389	19.30237351456484	-39.004800189516246	1.4587932859188788	125.17558914919377	19.03099905465723	-9.450101984167745	0.5578978064510235	-7.6967101817482435	3.459938465530125	j5	5	-8.8	0.1	0	Janssen
-1.2536919717754564	2.8441310264192947	0.13001367741938094	0.4596434953862122	-1.0869609354837984	1.304159533317527	1.1770733185483095	0.8192327457953826	-0.8939744516129196	0.9896333061892972	0.0	0.0	-68.06296866935675	17.922707724616448	-43.55615793951619	1.7383237411536132	103.72880939919388	18.106464113045867	-8.527238325667737	0.5652165781887163	-18.345095898249127	3.7942652899602813	j6	6	-8.2	0.1	0	Janssen
-0.5317102217744605	2.6819584331196085	0.5166169274194168	0.5015753254366141	-0.2534089354840816	1.4190495171048616	-1.0671796814516217	0.8127503977057441	-2.3925632016130964	1.017637634190255	0.0	0.0	-83.90256441935423	18.729368814609558	-42.012210564516295	1.6818951207237434	112.16669702419372	18.188567012026922	-9.216321378067748	0.5517323852615397	-26.692644450648746	3.5672163138318744	j7	7	-7.8	0.1	0	Janssen
3.1841786532254015	3.0303849129033287	-0.14850669758069834	0.4897781883212496	0.1390308145160546	1.3759394015316582	-0.8196580564516314	0.85939111369654	0.20214554838685567	1.0792392867129903	0.0	0.0	-81.19342116935522	18.39919028381186	-43.71565618951624	1.4896505381405627	112.0563228991937	17.77832083308554	-8.915577072067727	0.5501623057427992	-19.211141269648408	3.4389412685109884	j8	8	-7.4	0.1	0	Janssen
2.8600680282239352	3.229133217652445	-0.11157082258066353	0.5369112965053463	0.334428064516068	1.2775712494867657	0.5812711935484769	0.870160146797928	-0.8667588266128305	0.9611678013496364	0.0	0.0	-84.806003419353	18.444531498543807	-37.96571606451639	1.5066972306137738	111.43149689919373	18.12749437334745	-9.146867148667742	0.5501195127098005	-17.689652096248125	3.482629767268332	j9	9	-7.3	0.1	0	Janssen
-0.5925577217761884	2.8763627578411537	0.433479302419352	0.5844963098150268	-0.4750043104841355	1.2279865446134417	1.0012516935483695	0.8707294119155121	1.9785174233871563	1.054683573233879	0.0	0.0	-84.71992104435552	19.44293310253143	-32.0924761895162	1.726700257549859	115.56170239919383	18.94745542856496	-8.370551298367745	0.5549808988947884	-7.275559745948442	3.5593668188944694	j10	10	-6.3	0.1	0	Janssen
4.177648028224978	2.9135741041733514	0.13247392741936534	0.4922271650882698	0.6068064395159887	1.2875704799047112	1.1750179435483243	0.8343008286124067	-0.13623757661279612	0.9964876023787624	0.0	0.0	-93.00337779435421	18.747298262347496	-36.765352689516284	1.6682484074038002	118.43644414919385	18.80596958835271	-9.325212011767741	0.5578616946103485	-14.70178958434866	3.3884902174634632	j11	11a	-5.6	0.1	0	Janssen
-0.5681539717751036	3.005010632813472	0.15656967741931194	0.4999001753509627	-0.7382273104838859	1.3779412286009185	0.3431681935483448	0.8642202525488359	-1.3593028266128844	1.19123593987254	0.0	0.0	-72.4445974193553	18.59146342554628	-35.205152939516275	1.4553573044406187	107.42675589919355	18.005129471307253	-9.11309361816774	0.5532826156047547	-11.502034315748675	3.727146385868023	j12	11b	-5.6	0.1	0	Janssen
