ligname	1-4_eel_avg	1-4_eel_se	1-4_vdw_avg	1-4_vdw_se	angle_avg	angle_se	bond_avg	bond_se	dihed_avg	dihed_se	ecavity_avg	ecavity_se	edisper_avg	edisper_se	eel_avg	eel_se	epb_avg	epb_se	vdwaals_avg	vdwaals_se	pb_tot_avg	pb_tot_se	paper-id	expt-dg	expt-err	q	dataset
g1	-2.375000574375008e-06	9.732694975839231e-06	1.249999993859774e-06	7.61039939282747e-06	-1.25000010768872e-07	7.272588869256128e-06	-3.1249999882732025e-06	7.2805223549639874e-06	-7.500000263860329e-07	5.6832420313179725e-06	-4.746007625	0.041981341520082135	0.0	0.0	-17.432893874999895	0.9639363267448195	34.377273875000085	1.1464709790565455	-38.677288625	1.1304644768174588	-26.478921375000354	0.910318117837532	THQ1	-9.607999999999999	0.1	0	THQ
g2	-3.1250003348759497e-06	1.0223161160561813e-05	-1.1249999238316378e-06	8.615757557071623e-06	-1.2499995975190358e-07	1.0298108555640636e-05	-2.374999959364743e-06	6.687017756386901e-06	-1.249998952346232e-07	7.676367274821503e-06	-3.766942375000003	0.031468081027095765	0.0	0.0	-16.741400000000322	1.2469535799878808	29.45589625000009	1.0078028360315232	-31.23366537500005	0.4891620228917085	-22.286118374999933	0.6515449418856006	THQ2	-7.6864	0.1	0	THQ
g3	-8.749999119572748e-07	9.571812027962866e-06	-2.000000022661652e-06	8.094368789860508e-06	2.875000042195097e-06	9.053229899521898e-06	4.999999939059307e-07	6.423859127199519e-06	8.512301974406e-14	9.258903138669387e-06	-4.509614375000004	0.03447417473387851	0.0	0.0	-16.84379787500038	0.9977304059239128	32.59756487499998	1.079699534825624	-36.916824874999946	1.0258590505839684	-25.67267174999998	0.8476192045309762	THQ3	-9.33348	0.1	0	THQ
g4	-2.0000001222797438e-06	8.100715537710889e-06	3.749999460467279e-07	8.847332722285614e-06	1.6250000317086232e-06	1.0202860862145327e-05	-8.749999850010681e-07	7.256108790178812e-06	-3.7499993027267925e-07	9.811476168038304e-06	-4.45651475	0.0264435892381628	0.0	0.0	-19.539661375000023	1.1958065213594788	35.31064324999998	1.3625875167617811	-36.95101062499994	0.6782930953060916	-25.636544749999953	0.6337608236478874	THQ4	-9.33348	0.127	0	THQ
g5	2.3750005675537984e-06	8.549579271337021e-06	-1.6250000076922786e-06	6.33676440905904e-06	-4.125000012322744e-06	6.481285769816672e-06	-1.6250000201267769e-06	9.2345892433762e-06	1.7500000488723801e-06	8.2046242527651e-06	-4.679934625000001	0.033464845086114844	0.0	0.0	-19.36911612499927	1.0727715923153092	36.2285736249999	1.0051198663968317	-38.69486500000002	0.515612046380768	-26.515345374999924	0.8142213793385759	THQ5	-10.8433	0.1	0	THQ
g6	1.7499997102277119e-06	7.135771144370046e-06	-1.6249999838180432e-06	7.0762417014644016e-06	6.249999515262062e-07	7.655710173253289e-06	-3.125000006818368e-06	7.0219507013049256e-06	2.250000063668267e-06	9.323826091917537e-06	-4.963186125	0.05320708988893738	0.0	0.0	-16.146479250000144	0.960481309835672	36.82872012500004	1.5653290980545935	-38.289767125000026	1.0684154356682238	-22.570712499999928	0.7248568506033343	THQ6	-7.6864	0.1	0	THQ
g7	-1.2499992863013176e-07	7.981288283443463e-06	2.5000002722208593e-07	6.842032719455004e-06	2.4999999027386365e-07	7.490187920931656e-06	-2.250000019188292e-06	7.671008191819593e-06	3.7499987925571077e-07	9.3152671551476e-06	-4.498928749999998	0.03999461976003616	0.0	0.0	-25.399136250000478	3.1069181774506536	42.4326421250001	3.1797650526488024	-39.699366749999946	1.4627904208796458	-27.164791124999923	1.4245384329474808	THQ7	-7.96091	0.1	0	THQ
g8	2.999999785515684e-06	1.0591657698593716e-05	8.750000380075563e-07	6.6406076118344886e-06	-3.1249999726412624e-06	5.791846502593617e-06	-2.750000007054609e-06	8.220937692393738e-06	-3.1250001497085123e-06	9.442343658435053e-06	-4.915044125000001	0.0638175612210638	0.0	0.0	-17.289465999999788	1.0046617090906214	36.02892800000002	1.3606225621996968	-39.096014875000044	1.3210162620258583	-25.27160212499991	1.044197893047665	THQ8	-8.921710000000001	0.1	0	THQ
g9	7.500002107008186e-07	9.72869090887504e-06	1.2500002242177285e-07	7.5625593545325745e-06	-8.749999159363142e-07	9.964697970786914e-06	-2.875000001480998e-06	9.343887476222734e-06	4.374999844998229e-06	7.816013010529097e-06	-5.1078216250000015	0.08344012951001996	0.0	0.0	-15.7682058750002	0.8900955340952061	34.46152699999997	1.0860594990888193	-40.29969374999996	0.9484805164340602	-26.71419275000007	0.9079143323780796	THQ9	-5.90206	0.1	0	THQ
g10	2.499999723113433e-06	8.436472816608626e-06	-3.0000000232632822e-06	1.020792316024683e-05	2.374999957197588e-06	7.5606346668738935e-06	1.3750000032075606e-06	8.833024643441847e-06	2.0000000267828e-06	6.834215595636566e-06	-5.325918500000003	0.06396883909538076	0.0	0.0	-22.916236249999567	3.0433043039490086	38.71900162500005	2.6974783499083603	-40.41909912500004	0.7707397362658732	-29.942246999999924	0.9250854144280308	THQ10	-10.4315	0.14	1	THQ
g11	6.24999451019903e-07	8.844508414516372e-06	4.999999968902102e-07	9.614293953367239e-06	1.5000000036025085e-06	7.858341897646741e-06	2.7500000068414465e-06	9.033519335941606e-06	2.625000072242756e-06	7.16640767045704e-06	-5.495567625	0.054866016754811925	0.0	0.0	-24.26864937499995	4.073639425535434	39.36875699999997	3.8016253442201298	-42.23672087499997	0.818750397993782	-32.63217287500007	1.2319034680501466	THQ11	-9.33348	0.41	1	THQ
g12	-3.000000099291356e-06	7.26290325955717e-06	9.999999784326971e-07	8.697904688893695e-06	1.249999977801508e-06	1.1983307569473147e-05	-1.7499999926684498e-06	6.673467474521926e-06	-5.00000030854153e-07	9.24152956550929e-06	-5.654134999999999	0.06892728793193466	0.0	0.0	-24.362088750000712	4.62801888556658	40.039403125000014	4.576702800407394	-43.42306787500005	1.130218521965135	-33.39989149999974	1.311381856846348	THQ12	-7.5491399999999995	0.1	1	THQ
g13	-1.3749998197454259e-06	9.275402482222436e-06	2.5000000169939083e-06	7.501963572658831e-06	3.375000056280442e-06	9.089345548546764e-06	3.124999999144506e-06	1.239330394910374e-05	8.74999975621904e-07	7.83441315983977e-06	-5.102488375000002	0.07186371578591129	0.0	0.0	-78.92253350000013	10.211868694095026	87.71493962500004	9.286820104257366	-36.42571087499999	1.2512459743479074	-32.73578462500021	1.4737076125269117	THQ13	-7.41188	0.1	-1	THQ
g14	-7.499998298499122e-07	9.074972906077234e-06	-3.124999995236521e-06	8.294738722184151e-06	-1.2499999634485449e-06	8.747460301857485e-06	-3.7499999913137564e-06	1.0664923876160067e-05	1.0260237104375846e-13	9.408450691209512e-06	-4.937970250000001	0.04500935165491067	0.0	0.0	-84.77324712500054	10.911863579447772	92.269742625	10.384072405605652	-35.093704625000036	1.4560781765818156	-32.535188249999976	2.2836060454136518	THQ14	-9.19623	0.27	-1	THQ
g15	-2.125000085015927e-06	9.64479650036244e-06	3.74999994363634e-07	9.334697561332487e-06	-3.4999999979845596e-06	7.918789723853888e-06	1.2500002007698186e-07	8.771607110265307e-06	2.2500000595471197e-06	8.726466536855757e-06	-4.911275124999997	0.03207002363776279	0.0	0.0	-85.4450678750009	11.082836266190352	92.95124574999996	9.931642784922783	-35.25135287500004	1.8612039049347249	-32.65645300000008	3.0395356304340706	THQ15	-10.7106	0.14	-1	THQ
g16	4.1249992273151294e-06	7.695779854850237e-06	1.249999615993147e-07	7.937075475847088e-06	-3.750000263380571e-07	7.816970913262427e-06	-1.2500002789295194e-07	8.851740817416948e-06	2.5000013238241075e-07	9.085267520536467e-06	-5.163505375	0.05837543072929	0.0	0.0	-19.49067525000033	3.889647791453741	37.907873625	3.4840737200096514	-39.588944249999926	1.0516092358689528	-26.33524725000013	1.7621661463766882	THQ16	-7.41188	0.38	1	THQ
